id,created,lead_id,algorithm,country_code,position,partner,no_valid_offers
57244666,2023-08-20 00:00:40.268,11c821fc-b0a4-45a7-a87f-7fc256972ded,scoring-model-1,PH,0,partner-b,false
57244666,2023-08-20 00:00:40.268,11c821fc-b0a4-45a7-a87f-7fc256972ded,scoring-model-1,PH,1,partner-a,false
57244682,2023-08-20 00:01:09.206,586e7faa-af06-43fe-be61-ee9563f92724,scoring-model-2,PH,0,partner-b,false
57244682,2023-08-20 00:01:09.206,586e7faa-af06-43fe-be61-ee9563f92724,scoring-model-2,PH,1,partner-a,false
57244692,2023-08-20 00:01:20.982,586e7faa-af06-43fe-be61-ee9563f92724,scoring-model-2,PH,0,partner-b,false
57244692,2023-08-20 00:01:20.982,586e7faa-af06-43fe-be61-ee9563f92724,scoring-model-2,PH,1,partner-a,false
57244698,2023-08-20 00:01:24.178,586e7faa-af06-43fe-be61-ee9563f92724,scoring-model-2,PH,0,partner-b,false
57244698,2023-08-20 00:01:24.178,586e7faa-af06-43fe-be61-ee9563f92724,scoring-model-2,PH,1,partner-a,false
57244719,2023-08-20 00:01:45.868,6f21ef08-bbd2-4769-9022-e5d9ee873935,scoring-model-1,PH,0,partner-d,false
57244719,2023-08-20 00:01:45.868,6f21ef08-bbd2-4769-9022-e5d9ee873935,scoring-model-1,PH,1,partner-e,false
57244719,2023-08-20 00:01:45.868,6f21ef08-bbd2-4769-9022-e5d9ee873935,scoring-model-1,PH,2,partner-c,false
57244719,2023-08-20 00:01:45.868,6f21ef08-bbd2-4769-9022-e5d9ee873935,scoring-model-1,PH,3,partner-g,false
57244720,2023-08-20 00:01:45.894,586e7faa-af06-43fe-be61-ee9563f92724,scoring-model-2,PH,0,partner-f,false
57244720,2023-08-20 00:01:45.894,586e7faa-af06-43fe-be61-ee9563f92724,scoring-model-2,PH,1,partner-b,false
57244720,2023-08-20 00:01:45.894,586e7faa-af06-43fe-be61-ee9563f92724,scoring-model-2,PH,2,partner-c,false
57244720,2023-08-20 00:01:45.894,586e7faa-af06-43fe-be61-ee9563f92724,scoring-model-2,PH,3,partner-d,false
57244720,2023-08-20 00:01:45.894,586e7faa-af06-43fe-be61-ee9563f92724,scoring-model-2,PH,4,partner-e,false
57244720,2023-08-20 00:01:45.894,586e7faa-af06-43fe-be61-ee9563f92724,scoring-model-2,PH,5,partner-a,false
57244720,2023-08-20 00:01:45.894,586e7faa-af06-43fe-be61-ee9563f92724,scoring-model-2,PH,6,partner-j,false
57244728,2023-08-20 00:01:57.632,5bc96438-e26d-48e0-9948-a3157734c7b3,scoring-model-3,PH,0,partner-b,false
57244728,2023-08-20 00:01:57.632,5bc96438-e26d-48e0-9948-a3157734c7b3,scoring-model-3,PH,1,partner-a,false
57244732,2023-08-20 00:02:00.351,586e7faa-af06-43fe-be61-ee9563f92724,scoring-model-2,PH,0,partner-f,false
57244732,2023-08-20 00:02:00.351,586e7faa-af06-43fe-be61-ee9563f92724,scoring-model-2,PH,1,partner-b,false
57244732,2023-08-20 00:02:00.351,586e7faa-af06-43fe-be61-ee9563f92724,scoring-model-2,PH,2,partner-c,false
57244732,2023-08-20 00:02:00.351,586e7faa-af06-43fe-be61-ee9563f92724,scoring-model-2,PH,3,partner-d,false
57244732,2023-08-20 00:02:00.351,586e7faa-af06-43fe-be61-ee9563f92724,scoring-model-2,PH,4,partner-e,false
57244732,2023-08-20 00:02:00.351,586e7faa-af06-43fe-be61-ee9563f92724,scoring-model-2,PH,5,partner-a,false
57244732,2023-08-20 00:02:00.351,586e7faa-af06-43fe-be61-ee9563f92724,scoring-model-2,PH,6,partner-j,false
57244737,2023-08-20 00:02:03.748,7b737b63-cec1-4559-bbeb-301012c867bb,scoring-model-3,PH,0,partner-a,false
57244737,2023-08-20 00:02:03.748,7b737b63-cec1-4559-bbeb-301012c867bb,scoring-model-3,PH,1,partner-b,false
57244773,2023-08-20 00:02:31.189,f807a64f-3af1-444a-806a-3ebb9b7d94e3,scoring-model-1,PH,0,partner-b,false
57244773,2023-08-20 00:02:31.189,f807a64f-3af1-444a-806a-3ebb9b7d94e3,scoring-model-1,PH,1,partner-a,false
57244774,2023-08-20 00:02:31.988,8b1db804-056f-4672-94c9-948467f5f8b1,scoring-model-1,PH,0,partner-b,false
57244774,2023-08-20 00:02:31.988,8b1db804-056f-4672-94c9-948467f5f8b1,scoring-model-1,PH,1,partner-a,false
57244786,2023-08-20 00:02:39.533,c0861942-a6d6-4bae-8bd9-25d115f7b2e5,scoring-model-1,PH,0,partner-a,false
57244802,2023-08-20 00:03:08.838,652f424b-047e-4e12-b244-44c0c2f4faab,scoring-model-2,PH,0,partner-b,false
57244802,2023-08-20 00:03:08.838,652f424b-047e-4e12-b244-44c0c2f4faab,scoring-model-2,PH,1,partner-a,false
57244813,2023-08-20 00:03:16.757,586e7faa-af06-43fe-be61-ee9563f92724,scoring-model-2,PH,0,partner-f,false
57244813,2023-08-20 00:03:16.757,586e7faa-af06-43fe-be61-ee9563f92724,scoring-model-2,PH,1,partner-b,false
57244813,2023-08-20 00:03:16.757,586e7faa-af06-43fe-be61-ee9563f92724,scoring-model-2,PH,2,partner-c,false
57244813,2023-08-20 00:03:16.757,586e7faa-af06-43fe-be61-ee9563f92724,scoring-model-2,PH,3,partner-d,false
57244813,2023-08-20 00:03:16.757,586e7faa-af06-43fe-be61-ee9563f92724,scoring-model-2,PH,4,partner-e,false
57244813,2023-08-20 00:03:16.757,586e7faa-af06-43fe-be61-ee9563f92724,scoring-model-2,PH,5,partner-a,false
57244813,2023-08-20 00:03:16.757,586e7faa-af06-43fe-be61-ee9563f92724,scoring-model-2,PH,6,partner-j,false
57244817,2023-08-20 00:03:19.628,d7c240e4-c13c-42cb-a8af-8157cfa51359,scoring-model-1,PH,0,partner-f,false
57244817,2023-08-20 00:03:19.628,d7c240e4-c13c-42cb-a8af-8157cfa51359,scoring-model-1,PH,1,partner-c,false
57244817,2023-08-20 00:03:19.628,d7c240e4-c13c-42cb-a8af-8157cfa51359,scoring-model-1,PH,2,partner-d,false
57244817,2023-08-20 00:03:19.628,d7c240e4-c13c-42cb-a8af-8157cfa51359,scoring-model-1,PH,3,partner-e,false
57244817,2023-08-20 00:03:19.628,d7c240e4-c13c-42cb-a8af-8157cfa51359,scoring-model-1,PH,4,partner-a,false
57244860,2023-08-20 00:04:00.403,cc2fcb89-2a5f-4231-82f4-d19ae9b9fd31,scoring-model-1,PH,0,partner-b,false
57244860,2023-08-20 00:04:00.403,cc2fcb89-2a5f-4231-82f4-d19ae9b9fd31,scoring-model-1,PH,1,partner-c,false
57244860,2023-08-20 00:04:00.403,cc2fcb89-2a5f-4231-82f4-d19ae9b9fd31,scoring-model-1,PH,2,partner-e,false
